experiment,well,strain,DS
RA00054_210620,CAM037A5,tph-1,4
RA00054_210620,CAM037A6,tph-1,4
RA00054_210620,CAM302A2,tph-1,4
RA00054_210620,CAM302A3,tph-1,4
RA00054_210620,CAM302A6,tph-1,4
RA00054_210620,CAM307A1,tph-1,4
RA00054_210620,CAM307A3,tph-1,4
RA00054_210620,CAM307A6,tph-1,4
RA00054_210620,CAM516A1,tph-1,4
RA00054_210620,CAM516A2,tph-1,4
RA00054_210620,CAM516A3,tph-1,4
RA00054_210620,CAM516A4,tph-1,4
RA00054_210620,CAM516A6,tph-1,4
RA00055_280620,CAM034A1,tph-1,4
RA00055_280620,CAM034A2,tph-1,4
RA00055_280620,CAM034A3,tph-1,4
RA00055_280620,CAM034A4,tph-1,4
RA00055_280620,CAM034A5,tph-1,4
RA00055_280620,CAM034A6,tph-1,4
RA00055_280620,CAM035A1,tph-1,4
RA00055_280620,CAM035A2,tph-1,4
RA00055_280620,CAM035A3,tph-1,4
RA00055_280620,CAM035A4,tph-1,4
RA00055_280620,CAM035A5,tph-1,4
RA00055_280620,CAM035A6,tph-1,4
RA00055_280620,CAM037A1,tph-1,4
RA00055_280620,CAM037A2,tph-1,4
RA00055_280620,CAM037A3,tph-1,4
RA00055_280620,CAM037A4,tph-1,4
RA00055_280620,CAM037A5,tph-1,4
RA00055_280620,CAM037A6,tph-1,4
RA00055_280620,CAM302A2,tph-1,4
RA00055_280620,CAM302A3,tph-1,4
RA00055_280620,CAM302A4,tph-1,4
RA00055_280620,CAM302A6,tph-1,4
RA00055_280620,CAM307A1,tph-1,4
RA00055_280620,CAM307A4,tph-1,4
RA00055_280620,CAM307A6,tph-1,4
RA00055_280620,CAM516A1,tph-1,4
RA00055_280620,CAM516A2,tph-1,4
RA00055_280620,CAM516A3,tph-1,4
RA00055_280620,CAM516A5,tph-1,4
RA00055_280620,CAM516A6,tph-1,4
RA00057_080720,CAM036A1,cat-2,3
RA00057_080720,CAM036A2,cat-2,3
RA00057_080720,CAM036A3,cat-2,3
RA00057_080720,CAM036A4,cat-2,3
RA00057_080720,CAM036A5,cat-2,3
RA00057_080720,CAM036A6,cat-2,3
RA00057_080720,CAM304A3,cat-2,3
RA00057_080720,CAM304A4,cat-2,3
RA00057_080720,CAM304A5,cat-2,3
RA00057_080720,CAM306A1,cat-2,3
RA00057_080720,CAM306A2,cat-2,3
RA00057_080720,CAM306A3,cat-2,3
RA00057_080720,CAM306A4,cat-2,3
RA00057_080720,CAM306A6,cat-2,3
RA00057_080720,CAM308A1,cat-2,3
RA00057_080720,CAM308A2,cat-2,3
RA00057_080720,CAM308A3,cat-2,3
RA00057_080720,CAM308A4,cat-2,3
RA00057_080720,CAM308A5,cat-2,3
RA00057_080720,CAM308A6,cat-2,3
RA00057_080720,CAM309A1,cat-2,3
RA00057_080720,CAM309A2,cat-2,3
RA00057_080720,CAM309A3,cat-2,3
RA00057_080720,CAM309A4,cat-2,3
RA00057_080720,CAM309A5,cat-2,3
RA00057_080720,CAM537A1,cat-2,3
RA00057_080720,CAM537A3,cat-2,3
RA00057_080720,CAM537A4,cat-2,3
RA00057_080720,CAM537A5,cat-2,3
RA00057_080720,CAM537A6,cat-2,3
RA00058_130520,CAM040A1,tph-1,3
RA00058_130520,CAM040A2,tph-1,3
RA00058_130520,CAM040A3,tph-1,3
RA00058_130520,CAM040A4,tph-1,3
RA00058_130520,CAM040A5,tph-1,3
RA00058_130520,CAM040A6,tph-1,3
RA00058_130520,CAM788A3,tph-1,3
