experiment,well,strain,DS
RA00127_100121,CAM034A1,dop-3,0
RA00127_100121,CAM034A2,dop-3,0
RA00127_100121,CAM034A3,dop-3,0
RA00127_100121,CAM034A4,dop-3,0
RA00127_100121,CAM034A5,dop-3,0
RA00127_100121,CAM034A6,dop-3,0
RA00127_100121,CAM035A1,dop-3,0
RA00127_100121,CAM035A2,dop-3,0
RA00127_100121,CAM035A3,dop-3,0
RA00127_100121,CAM035A4,dop-3,0
RA00127_100121,CAM035A5,dop-3,0
RA00127_100121,CAM035A6,dop-3,0
RA00127_100121,CAM037A1,dop-3,0
RA00127_100121,CAM037A2,dop-3,0
RA00127_100121,CAM037A3,dop-3,0
RA00127_100121,CAM037A4,dop-3,0
RA00127_100121,CAM037A5,dop-3,0
RA00127_100121,CAM302A1,dop-3,0
RA00127_100121,CAM302A4,dop-3,0
RA00127_100121,CAM302A5,dop-3,0
RA00127_100121,CAM302A6,dop-3,0
RA00127_100121,CAM307A1,dop-3,0
RA00127_100121,CAM307A2,dop-3,0
RA00127_100121,CAM307A3,dop-3,0
RA00127_100121,CAM307A4,dop-3,0
RA00127_100121,CAM307A5,dop-3,0
RA00127_100121,CAM307A6,dop-3,0
RA00127_100121,CAM516A1,dop-3,0
RA00127_100121,CAM516A2,dop-3,0
RA00127_100121,CAM516A3,dop-3,0
RA00127_100121,CAM516A4,dop-3,0
