experiment,well,bin 1,bin 2,bin 3,bin 4,bin 5,bin 6,bin 7,bin 8,bin 9,bin 10,bin 11,bin 12,bin 13,bin 14,bin 15,bin 16,bin 17,bin 18,bin 19,bin 20,bin 21,bin 22,bin 23,bin 24,bin 25,bin 26,bin 27,bin 28,bin 29,bin 30,bin 31,bin 32,bin 33,bin 34,bin 35,bin 36,bin 37,bin 38,bin 39,bin 40,bin 41,bin 42,bin 43,bin 44,bin 45,bin 46,bin 47,bin 48,bin 49,bin 50
RA00165_260521,CAM040A4,0.0032606164117692724,0.0,0.004658385093167702,0.002096110550423104,0.004036953652666719,0.003959627329192547,0.059782608695652176,0.005900163030820588,0.02034003571151308,0.0,0.0,0.0029790660225442835,0.0012883484982687816,0.012399355877616747,0.046944198405668734,0.005717046461067719,0.07600644122383253,0.0,0.002818035426731079,0.0,0.0,0.010833333333333334,0.06611723307713677,0.21101851851851852,0.39938883229928696,0.006204278173904991,0.023240740740740742,0.0037040466709880545,0.015185185185185185,9.260116677470137e-5,0.0,0.046587694483734086,0.48863937759702947,0.5033153567323844,0.005922913719943423,0.017416674034126074,0.009725046414994254,0.020864645035805852,0.02112800565770863,0.020245778445760764,0.0,0.0012177442737025224,0.057002029573789505,0.09017106407654392,0.0781675848071905,0.007886801206216655,0.0027834154827486228,0.026152507973325603,0.0028414033053058858,0.010379820237750073
RA00165_260521,CAM040A6,0.002072682050573442,0.0006909417536101706,0.021832250932706923,0.12353185021417715,0.0023490396573165677,0.004491121398466109,0.0001381788033715628,0.04684261434295979,0.001036412630415256,0.0008981622219151582,0.0,0.004166666666666667,0.0,0.008101851851851851,0.15942588162666874,0.23551199938266842,0.18225308641975307,0.1402886025156262,0.018518518518518517,0.0,0.0,0.0,0.16659956518238184,0.6390499194847021,0.008052178114179886,0.15661486432079877,0.22238325281803542,0.16410338996698606,0.0017713365539452496,8.052178114179885e-5,0.0,0.06418743027147639,0.5096318333953143,0.33253997768687243,0.17850502045370026,0.18110821866865007,0.01286723689103756,0.011602826329490517,0.0056526589810338415,0.0020825585719598362,5.862351975612616e-5,0.005158567325165602,0.09004572634540978,0.046427105926490415,0.1743463477547192,0.11179505217493259,0.0029896242452664284,0.005979599015124868,0.020985989800105517,0.10100832453980536
RA00165_260521,CAM787A4,7.123521869212138e-5,0.0,0.006624875338367289,0.0,0.0012110849896701575,0.0017808804673030347,0.018236215985183074,0.0022795269981478843,0.0006411169682290924,7.123521869212138e-5,0.0,0.00018518518518518518,0.0,0.0006481481481481481,0.007037688674877304,0.014445782016853412,0.1988888888888889,0.0002778035003241041,0.005833333333333334,0.0,0.0,0.0,0.12844291941018268,0.14272465918575536,0.23066221480244853,0.12417694519150514,0.00445145135862005,0.0004636928498562552,0.015488777592283435,0.0,0.006229480596009765,0.04772727272727273,0.42486741308190923,0.05286195286195286,0.027611751830962202,0.03350450374610658,0.029461279461279462,0.0230659146392794,0.04377104377104377,0.001431096893677919,0.0,0.0007558139534883721,0.12952735306086854,0.012732558139534883,0.0688953488372093,0.010872093023255813,0.004011627906976744,0.026335678158246615,0.03651162790697674,0.01680232558139535
RA00165_260521,CAM787A5,0.0004023065575968888,0.002413839345581333,0.0,0.005028831969961111,0.0004023065575968888,0.00992356175405659,0.026887488266058735,0.0008717226580835513,0.006503956014483036,0.0017433284162531849,0.0013889960645111505,0.029320987654320986,0.006481981634385369,0.01574074074074074,0.009645806003549657,0.0364225634694035,0.33564814814814814,0.0,0.07160493827160494,0.0,0.0,0.0,0.21165887644413087,0.5135802469135803,0.19225681277008555,0.1299938266161037,0.3300705467372134,0.0015874415733309816,0.0014991181657848325,0.002645735955551636,0.07238908124647717,0.242914653784219,0.40478299379982285,0.45829307568438005,0.34809565987599644,0.15395764554311941,0.28381642512077293,0.042515500442869794,0.0750402576489533,0.004589741525082535,0.003066037735849057,0.060262987204434224,0.1977004716981132,0.12358490566037736,0.022464622641509432,0.11003007252786132,0.021108490566037735,0.016568396226415094,0.011852113921811427,0.040860849056603775
RA00165_260521,CAM787A6,0.0,0.0,0.0029370845571185657,0.002318930200200974,0.00842479517699799,0.009584170660071108,0.0897425987477777,0.0006956252898438708,0.0352477390430548,0.0,0.0,0.014225589225589226,0.01986699217105817,0.005050505050505051,0.07517467800319892,0.007997306170553076,0.18838383838383838,0.12846199175014733,0.025084175084175084,0.018520077447596598,0.0,0.0,0.0610241689045282,0.3962962962962963,0.5960737105287527,0.007593295675525511,0.009537037037037037,0.003333642003889249,0.0014814814814814814,0.00018520233354940273,0.0,0.027693602693602694,0.12896708477144542,0.1984006734006734,0.23528916575469316,0.1621348598366866,0.010774410774410775,0.006818755787524202,0.05294612794612795,0.013300782894183011,0.0,0.0033120278907611852,0.02992620140624092,0.028996455343134407,0.22452062754212668,0.20367249694927073,0.023127433319774536,0.019873322098901736,0.11406159209761767,0.07995816142716021
RA00165_260521,CAM791A2,0.0,0.0,0.007820784729586427,0.004639448568398727,0.010339342523860021,0.0019883351007423116,0.001325556733828208,0.004374337221633086,0.022534464475079532,0.0029825026511134676,0.0,0.0004409171075837742,0.015080694946644324,0.004497354497354497,0.004497751124437781,0.02557544757033248,0.10714285714285714,0.0002645735955551636,0.10229276895943562,0.0,0.0,0.0003898635477582846,0.005556097085485915,0.3690058479532164,0.13987718101179453,0.050687201481625886,0.022222222222222223,0.0052636709230919195,0.0009746588693957114,0.0046788185983039285,0.00017638239703677574,0.013580246913580247,0.27577387776699885,0.44400352733686066,0.022047799629596965,0.016227180527383367,0.009259259259259259,0.058382573419172766,0.019135802469135803,0.047976011994003,0.0,0.0,0.004762457892902776,0.006214426762690208,0.0697485335966084,0.053897084446509466,0.03926123823905216,0.009292600766639562,0.019165989081194098,0.025845045882216287
RA00165_260521,CAM791A4,0.0,0.0033274007583378473,0.001392757660167131,0.0,0.0005416279789538842,0.005803156917363045,0.0065774201036910935,0.001934385639121015,0.00487502901802987,0.0,0.0,0.07422697784143567,0.041452523380234224,0.15435167242396158,0.06462212486308871,0.024772497472194135,0.28098407616479903,0.0015165557334232034,0.00825680343752633,0.0,0.0,0.0008880994671403197,0.07895905497823963,0.433392539964476,0.03739230837552181,0.21049826805222488,0.06589698046181172,0.0010658140154543032,0.019715808170515096,0.0,0.0,0.03422269077933663,0.254703211157963,0.34828089523191696,0.09349659422640286,0.018895466709918093,0.00859552384041518,0.005433019785922802,0.01873327386262266,0.011758027894907557,0.002054111156758026,0.002112676056338028,0.004342723004694835,0.0076882446152943245,0.18375491519455367,0.016373239436619717,0.0340962441314554,0.10728329127296203,0.04078877868419508,0.04683098591549296
RA00165_260521,CAM791A5,0.045066101818713025,0.001168736303871439,0.0,0.0,0.0008035062089116143,0.0008764882039295887,0.0040172376013439485,0.0037250748667007525,0.006866325785244704,0.01102914323278066,0.0,0.10161165215892441,0.04205446397793864,0.0,0.003533264391589107,0.0006894768594329053,0.043691830403309206,0.03765942778352292,0.011893475825217615,0.0016373664253705618,0.0,0.002292768959435626,0.0029985007496251873,0.42592592592592593,0.036599347385130966,0.017197283711085632,0.016490299823633158,0.0033512655436987388,0.006349206349206349,0.004762324719992945,0.0,0.1613528129792558,0.5409637581725725,0.2983291629671483,0.17216885947211236,0.02219711033981758,0.018968439744935024,0.02792800064573412,0.0028250867705222377,0.0007264508838485754,0.0004056089929308147,0.0002897207092362962,0.04786463464101524,0.04687681075443273,0.031927222157839844,0.037895468768107544,0.010545833816201182,0.02775685229182361,0.020396337930235254,0.014717812029203848
RA00165_260521,CAM791A6,6.782880010852608e-5,0.014379705623007529,0.0006104592009767348,0.0014922336023875738,0.014108390422573424,0.021774521774521775,0.03269348165230957,0.03025164484840263,0.0011530896018449434,0.011259580818015329,0.00048313068685079316,0.011674718196457327,0.02262662050084548,0.031239935587761676,0.04154923906916821,0.2312585554392463,0.17697262479871176,0.03100088573959256,0.041304347826086954,0.0,0.0,0.0,0.26458456098998234,0.20547138047138047,0.08216179813115582,0.0046300193618991495,0.035521885521885524,0.0017678255745433118,0.0008417508417508417,0.0024412829362740972,0.0,0.1202991452991453,0.16796068096018235,0.2928774928774929,0.014815870076216254,0.012963886316689223,0.0349002849002849,0.019517059619631027,0.014102564102564103,0.0015670631811382577,0.0,0.0,0.0038825813283134302,0.0005882698982293077,0.11565386199188188,0.21207129831166538,0.03770810047649862,0.2553091358315195,0.10782987234543208,0.1290664156715101
RA00165_260521,CAM795A1,0.0,0.0,0.0012334681011443843,0.003974508325909683,0.004659768382101007,0.0074008086068663055,0.0036318782978140202,0.0077434386349619685,0.0030836702528609606,0.0,0.0,0.007314814814814815,0.004259653671636263,0.0,0.015649597184924532,0.02315029169367534,0.13425925925925927,0.0016668210019446246,0.0017592592592592592,0.0012964163348458191,0.0,0.010934744268077601,0.008907311050357174,0.4714285714285714,0.38469000793720787,0.17585324984566542,0.13112874779541447,0.017197283711085632,0.003350970017636684,0.0,8.120838070488874e-5,0.2112229982134156,0.2942991716745168,0.28008770505116126,0.10004872502842294,0.12904011694006823,0.013074549293487088,0.018353094039304855,0.006659087217800877,0.00024362514211466623,0.0004130037170334533,0.00035402407363700734,0.024427661080953504,0.022420201781816036,0.07504867543807894,0.15636063252301158,0.16361812603257023,0.1168210513894625,0.012272110448994041,0.016403115411848006
